Ngày,Đóng cửa,Mở cửa,Cao nhất,Thấp nhất,KL,% Thay đổi
10/12/2024,"95,270.00","97,500.00","98,357.00","94,513.00",1.32K,-2.29%
9/12/2024,"97,500.00","101,240.00","101,280.00","94,255.00",1.58K,-3.69%
8/12/2024,"101,240.00","99,936.00","101,480.00","98,803.00",0.42K,1.30%
7/12/2024,"99,936.00","99,786.00","100,530.00","99,016.00",0.36K,0.15%
6/12/2024,"99,786.00","96,833.00","101,900.00","96,283.00",1.46K,3.05%
5/12/2024,"96,833.00","98,709.00","103,990.00","91,398.00",5.28K,-1.90%
4/12/2024,"98,709.00","96,083.00","99,166.00","94,737.00",0.89K,2.75%
3/12/2024,"96,065.00","95,925.00","96,402.00","93,792.00",1.52K,0.15%
2/12/2024,"95,925.00","97,365.00","98,240.00","94,713.00",1.14K,-1.48%
1/12/2024,"97,365.00","96,506.00","97,959.00","95,836.00",0.58K,0.89%
30/11/2024,"96,506.00","97,579.00","97,580.00","96,222.00",0.35K,-1.08%
29/11/2024,"97,564.00","95,761.00","98,682.00","95,511.00",0.68K,1.88%
28/11/2024,"95,761.00","95,953.00","96,628.00","94,750.00",0.33K,-0.20%
27/11/2024,"95,953.00","92,082.00","97,251.00","91,904.00",0.89K,4.20%
26/11/2024,"92,082.00","93,133.00","95,083.00","90,911.00",1.06K,-1.13%
25/11/2024,"93,133.00","97,828.00","98,690.00","92,866.00",1.68K,-4.80%
24/11/2024,"97,828.00","97,538.00","98,381.00","95,611.00",0.78K,0.30%
23/11/2024,"97,538.00","98,683.00","98,745.00","97,137.00",2.00K,-1.16%
22/11/2024,"98,683.00","98,348.00","99,327.00","97,010.00",2.40K,0.34%
21/11/2024,"98,348.00","94,243.00","98,700.00","93,996.00",2.83K,4.36%
20/11/2024,"94,243.00","92,172.00","94,652.00","91,404.00",1.49K,2.25%
19/11/2024,"92,172.00","90,535.00","93,751.00","90,430.00",2.04K,1.81%
18/11/2024,"90,535.00","89,843.00","92,533.00","89,500.00",1.64K,0.77%
17/11/2024,"89,843.00","90,538.00","91,423.00","88,758.00",0.89K,-0.77%
16/11/2024,"90,538.00","91,015.00","91,743.00","90,088.00",0.75K,-0.52%
15/11/2024,"91,015.00","87,305.00","91,854.00","87,120.00",1.20K,4.25%
14/11/2024,"87,305.00","90,453.00","91,776.00","86,693.00",1.59K,-3.48%
13/11/2024,"90,453.00","88,007.00","93,286.00","86,152.00",2.72K,2.78%
12/11/2024,"88,007.00","88,566.00","89,933.00","85,128.00",2.92K,-0.63%
11/11/2024,"88,566.00","80,367.00","89,528.00","80,244.00",3.62K,10.20%
10/11/2024,"80,367.00","76,703.00","81,428.00","76,531.00",4.08K,4.78%
9/11/2024,"76,703.00","76,496.00","76,888.00","75,746.00",0.31K,0.27%
8/11/2024,"76,496.00","75,864.00","77,049.00","75,611.00",0.80K,0.83%
7/11/2024,"75,864.00","75,580.00","76,655.00","74,397.00",1.43K,0.38%
6/11/2024,"75,580.00","69,450.00","76,179.00","69,401.00",4.90K,8.83%
5/11/2024,"69,450.00","67,858.00","70,598.00","67,541.00",0.78K,2.35%
4/11/2024,"67,858.00","68,807.00","69,505.00","66,881.00",0.63K,-1.38%
3/11/2024,"68,807.00","69,292.00","69,405.00","67,532.00",1.04K,-0.70%
2/11/2024,"69,292.00","69,590.00","69,939.00","69,028.00",0.37K,-0.43%
1/11/2024,"69,590.00","70,299.00","71,637.00","68,889.00",0.92K,-1.01%
31/10/2024,"70,299.00","72,455.00","72,664.00","69,674.00",0.40K,-2.98%
30/10/2024,"72,455.00","72,688.00","73,014.00","71,510.00",0.44K,-0.32%
29/10/2024,"72,688.00","69,989.00","73,525.00","69,812.00",2.65K,3.86%
28/10/2024,"69,989.00","68,035.00","70,287.00","67,660.00",0.73K,2.87%
27/10/2024,"68,035.00","67,081.00","68,328.00","66,926.00",0.22K,1.42%
26/10/2024,"67,081.00","66,734.00","67,445.00","66,456.00",0.13K,0.52%
25/10/2024,"66,734.00","68,188.00","68,750.00","65,629.00",0.52K,-2.13%
24/10/2024,"68,188.00","66,695.00","68,846.00","66,527.00",0.45K,2.24%
23/10/2024,"66,695.00","67,405.00","67,436.00","65,265.00",0.45K,-1.05%
22/10/2024,"67,405.00","67,425.00","67,824.00","66,648.00",0.40K,-0.03%
21/10/2024,"67,425.00","69,045.00","69,554.00","66,942.00",0.58K,-2.35%
20/10/2024,"69,045.00","68,360.00","69,375.00","68,116.00",0.31K,1.00%
19/10/2024,"68,360.00","68,368.00","68,641.00","68,035.00",0.18K,-0.01%
18/10/2024,"68,368.00","67,453.00","68,886.00","67,240.00",0.90K,1.36%
17/10/2024,"67,453.00","67,657.00","67,962.00","66,724.00",0.38K,-0.30%
16/10/2024,"67,657.00","67,123.00","68,367.00","66,861.00",1.16K,0.80%
15/10/2024,"67,123.00","66,179.00","67,806.00","64,857.00",1.40K,1.43%
14/10/2024,"66,179.00","62,986.00","66,555.00","62,601.00",0.81K,5.07%
13/10/2024,"62,986.00","63,335.00","63,406.00","62,204.00",0.59K,-0.55%
12/10/2024,"63,335.00","62,581.00","63,590.00","62,570.00",0.29K,1.20%
11/10/2024,"62,581.00","60,337.00","63,455.00","60,104.00",0.42K,3.72%
10/10/2024,"60,337.00","60,650.00","61,364.00","58,944.00",0.66K,-0.52%
9/10/2024,"60,650.00","62,231.00","62,586.00","60,371.00",0.46K,-2.54%
8/10/2024,"62,231.00","62,269.00","63,248.00","61,941.00",0.43K,-0.06%
7/10/2024,"62,269.00","62,894.00","64,514.00","62,202.00",0.61K,-0.99%
6/10/2024,"62,894.00","62,138.00","63,016.00","61,862.00",0.23K,1.22%
5/10/2024,"62,138.00","62,191.00","62,437.00","61,767.00",0.25K,-0.09%
4/10/2024,"62,191.00","60,892.00","62,575.00","60,602.00",0.43K,2.13%
3/10/2024,"60,892.00","60,785.00","61,600.00","60,009.00",0.38K,0.18%
2/10/2024,"60,785.00","60,981.00","62,455.00","60,139.00",0.74K,-0.32%
1/10/2024,"60,981.00","63,468.00","64,217.00","60,329.00",0.89K,-3.92%
30/09/2024,"63,468.00","65,762.00","65,762.00","63,006.00",1.04K,-3.49%
29/09/2024,"65,762.00","66,015.00","66,193.00","65,574.00",0.09K,-0.38%
28/09/2024,"66,015.00","65,928.00","66,410.00","65,568.00",0.11K,0.13%
27/09/2024,"65,928.00","65,307.00","66,548.00","64,987.00",0.67K,0.95%
26/09/2024,"65,307.00","63,264.00","65,856.00","62,805.00",0.86K,3.23%
25/09/2024,"63,264.00","64,381.00","64,888.00","63,082.00",0.40K,-1.73%
24/09/2024,"64,381.00","63,456.00","64,775.00","62,850.00",0.53K,1.46%
23/09/2024,"63,456.00","63,663.00","64,830.00","62,701.00",0.72K,-0.33%
22/09/2024,"63,663.00","63,416.00","64,093.00","62,485.00",0.63K,0.39%
21/09/2024,"63,416.00","63,205.00","63,570.00","62,805.00",0.21K,0.33%
20/09/2024,"63,205.00","63,032.00","64,200.00","62,435.00",0.49K,0.27%
19/09/2024,"63,032.00","61,841.00","63,948.00","61,714.00",0.80K,1.93%
18/09/2024,"61,841.00","60,435.00","61,869.00","59,293.00",1.00K,2.33%
17/09/2024,"60,435.00","58,342.00","61,337.00","57,773.00",1.10K,3.59%
16/09/2024,"58,342.00","59,296.00","59,336.00","57,653.00",0.62K,-1.61%
15/09/2024,"59,296.00","60,139.00","60,525.00","58,868.00",0.83K,-1.40%
14/09/2024,"60,139.00","60,645.00","60,713.00","59,666.00",0.33K,-0.83%
13/09/2024,"60,645.00","58,287.00","60,730.00","57,762.00",1.16K,4.05%
12/9/2024,"58,287.00","57,451.00","58,643.00","57,449.00",0.80K,1.46%
11/9/2024,"57,451.00","57,758.00","58,104.00","55,743.00",1.19K,-0.53%
10/9/2024,"57,758.00","57,110.00","58,135.00","56,489.00",0.27K,1.13%
9/9/2024,"57,110.00","55,016.00","58,062.00","54,752.00",1.94K,3.81%
8/9/2024,"55,016.00","54,309.00","55,447.00","53,764.00",1.06K,1.30%
7/9/2024,"54,309.00","54,133.00","55,027.00","53,931.00",1.30K,0.33%
6/9/2024,"54,133.00","56,318.00","57,102.00","52,756.00",2.37K,-3.88%
5/9/2024,"56,318.00","58,116.00","58,451.00","55,868.00",2.08K,-3.09%
4/9/2024,"58,116.00","57,680.00","58,630.00","56,069.00",2.15K,0.76%
3/9/2024,"57,680.00","59,308.00","59,976.00","57,610.00",0.97K,-2.74%
2/9/2024,"59,308.00","57,454.00","59,585.00","57,320.00",0.89K,3.23%
1/9/2024,"57,454.00","59,155.00","59,236.00","57,333.00",1.25K,-2.88%
31/08/2024,"59,155.00","59,300.00","59,622.00","58,950.00",0.81K,-0.24%
30/08/2024,"59,300.00","59,542.00","59,999.00","58,000.00",1.90K,-0.41%
29/08/2024,"59,542.00","59,145.00","61,290.00","58,902.00",1.00K,0.67%
28/08/2024,"59,145.00","59,570.00","60,325.00","58,085.00",0.78K,-0.71%
27/08/2024,"59,570.00","62,974.00","63,306.00","58,200.00",1.16K,-5.41%
26/08/2024,"62,974.00","64,361.00","64,578.00","62,934.00",0.39K,-2.16%
25/08/2024,"64,361.00","64,230.00","65,092.00","63,912.00",0.24K,0.20%
24/08/2024,"64,230.00","64,151.00","64,604.00","63,689.00",0.26K,0.12%
23/08/2024,"64,151.00","60,483.00","64,953.00","60,470.00",0.75K,6.06%
22/08/2024,"60,483.00","61,252.00","61,460.00","59,863.00",0.35K,-1.26%
21/08/2024,"61,252.00","59,172.00","61,898.00","58,958.00",0.98K,3.52%
20/08/2024,"59,172.00","59,609.00","61,472.00","58,763.00",1.10K,-0.73%
19/08/2024,"59,609.00","58,543.00","59,699.00","57,955.00",0.30K,1.82%
