Date,Close,Open,High,Low,Volume,Change %
10-Dec-24,"97,455.00","97,852.50","98,722.50","96,197.50",5.19K,0.69%
9-Dec-24,"96,790.00","101,300.00","102,265.00","94,640.00",14.14K,-5.51%
6-Dec-24,"102,435.00","97,320.00","102,990.00","96,155.00",11.22K,2.67%
5-Dec-24,"99,775.00","99,390.00","105,325.00","98,610.00",19.55K,-0.14%
4-Dec-24,"99,915.00","97,040.00","100,280.00","95,390.00",13.09K,3.50%
3-Dec-24,"96,535.00","96,380.00","97,395.00","94,435.00",9.60K,-0.10%
2-Dec-24,"96,635.00","98,875.00","99,565.00","95,270.00",12.12K,-1.73%
29-Nov-24,"98,339.80","96,415.00","98,560.00","94,760.00",1.45K,1.61%
27-Nov-24,"96,785.00","91,695.00","97,500.00","91,475.00",10.76K,6.36%
26-Nov-24,"90,995.00","94,350.00","95,225.00","90,785.00",15.78K,-4.16%
25-Nov-24,"94,945.00","98,555.00","99,275.00","93,490.00",18.09K,-5.53%
22-Nov-24,"100,500.00","99,795.00","101,100.00","98,340.00",10.14K,0.80%
21-Nov-24,"99,700.00","95,475.00","100,515.00","95,300.00",10.05K,4.26%
20-Nov-24,"95,630.00","93,110.00","96,340.00","92,915.00",5.71K,1.83%
19-Nov-24,"93,910.00","92,360.00","95,460.00","91,610.00",4.86K,1.14%
18-Nov-24,"92,855.00","90,625.00","93,840.00","90,535.00",3.85K,0.09%
15-Nov-24,"92,775.00","88,460.00","93,130.00","87,795.00",3.98K,4.62%
14-Nov-24,"88,680.00","90,965.00","93,060.00","88,120.00",2.89K,-2.58%
13-Nov-24,"91,025.00","89,640.00","94,795.00","87,720.00",4.93K,0.21%
12-Nov-24,"90,830.00","89,725.00","91,375.00","86,620.00",4.69K,2.73%
11-Nov-24,"88,415.00","81,705.00","89,835.00","81,440.00",6.44K,13.45%
8-Nov-24,"77,935.00","77,230.00","78,470.00","76,825.00",2.25K,0.24%
7-Nov-24,"77,745.00","76,925.00","78,080.00","75,630.00",2.56K,0.40%
6-Nov-24,"77,435.00","70,510.00","77,695.00","70,210.00",5.39K,10.04%
5-Nov-24,"70,370.00","68,750.00","71,475.00","68,300.00",2.15K,3.23%
4-Nov-24,"68,170.00","69,655.00","70,265.00","67,730.00",1.55K,-2.94%
1-Nov-24,"70,235.00","71,270.00","72,695.00","69,730.00",1.82K,-1.05%
31-Oct-24,"70,980.00","73,535.00","73,985.00","70,640.00",1.93K,-2.85%
30-Oct-24,"73,060.00","73,525.00","74,275.00","72,685.00",2.00K,-1.09%
29-Oct-24,"73,865.00","71,125.00","74,950.00","70,980.00",2.59K,4.34%
28-Oct-24,"70,795.00","69,130.00","71,065.00","68,570.00",1.76K,5.22%
25-Oct-24,"67,285.00","68,880.00","69,500.00","66,375.00",10.94K,-2.26%
24-Oct-24,"68,840.00","67,080.00","68,970.00","66,860.00",8.49K,2.86%
23-Oct-24,"66,925.00","68,350.00","68,400.00","65,765.00",9.08K,-1.71%
22-Oct-24,"68,090.00","68,410.00","68,480.00","67,155.00",7.30K,-0.43%
21-Oct-24,"68,385.00","69,445.00","70,195.00","67,425.00",8.64K,-1.46%
18-Oct-24,"69,400.00","67,925.00","69,805.00","67,905.00",7.27K,2.84%
17-Oct-24,"67,485.00","68,390.00","68,615.00","67,320.00",2.99K,-1.48%
16-Oct-24,"68,500.00","67,260.00","69,165.00","67,250.00",3.24K,1.04%
15-Oct-24,"67,795.00","66,745.00","68,675.00","65,570.00",5.74K,1.63%
14-Oct-24,"66,710.00","63,900.00","67,090.00","63,205.00",5.75K,4.50%
11-Oct-24,"63,840.00","60,550.00","64,130.00","60,485.00",4.36K,5.90%
10-Oct-24,"60,285.00","61,455.00","61,945.00","59,465.00",1.95K,-2.18%
9-Oct-24,"61,630.00","63,005.00","63,155.00","61,010.00",1.62K,-2.06%
8-Oct-24,"62,925.00","64,125.00","64,125.00","62,560.00",1.68K,-1.82%
7-Oct-24,"64,090.00","63,270.00","65,270.00","63,260.00",2.35K,1.59%
6-Oct-24,"63,087.50","63,492.50","63,492.50","62,602.50",-,-0.24%
4-Oct-24,"63,240.00","61,670.00","63,400.00","61,225.00",1.93K,2.31%
3-Oct-24,"61,810.00","61,580.00","62,175.00","60,640.00",1.70K,1.42%
2-Oct-24,"60,945.00","61,835.00","63,175.00","60,825.00",1.83K,-2.46%
1-Oct-24,"62,480.00","64,200.00","64,940.00","60,985.00",1.95K,-2.82%
30-Sep-24,"64,290.00","66,785.00","66,785.00","63,905.00",1.71K,-2.53%
29-Sep-24,"65,960.00","66,500.00","66,520.00","65,880.00",-,-0.27%
27-Sep-24,"66,140.00","65,595.00","67,135.00","65,220.00",10.16K,1.42%
26-Sep-24,"65,215.00","63,895.00","66,430.00","63,100.00",12.63K,2.57%
25-Sep-24,"63,580.00","64,635.00","65,365.00","63,380.00",7.50K,-1.97%
24-Sep-24,"64,860.00","63,835.00","65,115.00","63,165.00",7.80K,1.69%
23-Sep-24,"63,785.00","63,395.00","65,260.00","63,060.00",6.15K,0.61%
20-Sep-24,"63,400.00","63,460.00","64,640.00","62,900.00",6.92K,-0.75%
19-Sep-24,"63,880.00","61,100.00","64,500.00","61,030.00",6.13K,5.45%
18-Sep-24,"60,580.00","60,685.00","61,865.00","59,710.00",3.10K,0.05%
17-Sep-24,"60,550.00","58,460.00","61,990.00","58,110.00",5.76K,3.65%
16-Sep-24,"58,420.00","60,325.00","60,325.00","58,000.00",2.12K,-1.36%
15-Sep-24,"59,227.50","60,310.00","60,625.00","58,782.50",-,-1.92%
13-Sep-24,"60,385.00","58,485.00","60,680.00","58,260.00",3.97K,2.32%
12-Sep-24,"59,015.00","57,985.00","59,215.00","57,860.00",2.80K,1.24%
11-Sep-24,"58,290.00","58,180.00","58,645.00","56,080.00",3.16K,-0.60%
10-Sep-24,"58,640.00","58,280.00","58,710.00","57,045.00",2.18K,1.37%
9-Sep-24,"57,850.00","55,135.00","57,910.00","55,065.00",3.76K,6.92%
6-Sep-24,"54,105.00","56,510.00","57,665.00","53,255.00",2.40K,-4.49%
5-Sep-24,"56,650.00","58,950.00","58,950.00","56,360.00",2.19K,-3.63%
4-Sep-24,"58,785.00","58,645.00","59,250.00","56,230.00",3.40K,0.14%
3-Sep-24,"58,700.00","59,050.00","60,490.00","57,945.00",2.09K,-0.47%
30-Aug-24,"58,980.00","59,720.00","60,275.00","58,025.00",9.45K,-1.11%
29-Aug-24,"59,645.00","59,575.00","61,585.00","59,190.00",10.03K,0.51%
28-Aug-24,"59,340.00","61,035.00","61,035.00","58,285.00",9.62K,-5.12%
27-Aug-24,"62,540.00","63,785.00","63,890.00","61,910.00",8.77K,-2.07%
26-Aug-24,"63,860.00","65,000.00","65,715.00","63,645.00",7.66K,-0.73%
25-Aug-24,"64,332.50","63,137.50","65,140.00","63,107.50",-,0.00%
23-Aug-24,"64,330.00","61,070.00","64,505.00","60,900.00",10.57K,5.75%
22-Aug-24,"60,835.00","61,980.00","62,205.00","60,445.00",5.02K,-2.26%
21-Aug-24,"62,240.00","60,080.00","62,420.00","59,495.00",3.80K,3.45%
20-Aug-24,"60,165.00","59,700.00","62,010.00","59,200.00",3.86K,0.80%
19-Aug-24,"59,690.00","60,285.00","60,320.00","58,470.00",1.99K,1.87%
18-Aug-24,"58,595.00","59,517.50","60,080.00","58,582.50",-,-3.13%
16-Aug-24,"60,490.00","57,995.00","60,625.00","57,790.00",4.46K,4.86%
15-Aug-24,"57,685.00","59,470.00","60,530.00","56,860.00",3.09K,-3.16%
14-Aug-24,"59,565.00","61,785.00","62,655.00","59,350.00",1.78K,-3.31%
13-Aug-24,"61,605.00","59,635.00","62,390.00","59,140.00",2.64K,3.20%
12-Aug-24,"59,695.00","59,685.00","61,300.00","58,465.00",1.98K,1.20%
11-Aug-24,"58,990.00","59,802.50","59,802.50","58,742.00",-,-4.06%
9-Aug-24,"61,485.00","61,870.00","63,425.00","60,315.00",2.00K,2.14%
8-Aug-24,"60,195.00","56,035.00","60,710.00","55,360.00",2.99K,8.54%
7-Aug-24,"55,460.00","57,190.00","58,295.00","55,380.00",1.70K,-3.72%
6-Aug-24,"57,605.00","55,530.00","57,845.00","54,750.00",1.96K,6.33%
